Sort Order,File Type,File Type - Summary,Measure ID,Measure ID Short,Non-claims Table,Claims_cat_type,Measure Name,Data_Element,Data Dictionary,DD Number,Size,Character / Numeric,Active Indicator
1,ELG,Non-claims,MIS-1-001-1,MIS1.1,ELG00002,,% distinct MSIS IDs with only missing values in any active segment: DATE-OF-BIRTH (ELG00002),tmsis_prmry_dmgrphc_elgblty.birth_dt,DATE-OF-BIRTH,ELG024,9(8),Numeric,Y
2,ELG,Non-claims,MIS-1-002-2,MIS1.2,ELG00002,,% distinct MSIS IDs with only missing values in any active segment: DATE-OF-DEATH (ELG00002),tmsis_prmry_dmgrphc_elgblty.death_dt,DATE-OF-DEATH,ELG025,9(8),Numeric,Y
4,ELG,Non-claims,MIS-1-004-4,MIS1.4,ELG00002,,% distinct MSIS IDs with only missing values in any active segment: PRIMARY-DEMOGRAPHIC-ELEMENT-EFF-DATE (ELG00002),tmsis_prmry_dmgrphc_elgblty.prmry_dmgrphc_ele_efctv_dt,PRIMARY-DEMOGRAPHIC-ELEMENT-EFF-DATE,ELG026,9(8),Numeric,Y
5,ELG,Non-claims,MIS-1-005-5,MIS1.5,ELG00002,,% distinct MSIS IDs with only missing values in any active segment: PRIMARY-DEMOGRAPHIC-ELEMENT-END-DATE (ELG00002),tmsis_prmry_dmgrphc_elgblty.prmry_dmgrphc_ele_end_dt,PRIMARY-DEMOGRAPHIC-ELEMENT-END-DATE,ELG027,9(8),Numeric,Y
6,ELG,Non-claims,MIS-1-006-6,MIS1.6,ELG00002,,% distinct MSIS IDs with only missing values in any active segment: SEX (ELG00002),tmsis_prmry_dmgrphc_elgblty.gndr_cd,SEX,ELG023,X(1),Character,Y
7,ELG,Non-claims,MIS-1-007-7,MIS1.7,ELG00003,,% distinct MSIS IDs with only missing values in any active segment: CHIP-CODE (ELG00003),tmsis_var_dmgrphc_elgblty.chip_cd,CHIP-CODE,ELG054,X(1),Character,Y
8,ELG,Non-claims,MIS-1-008-8,MIS1.8,ELG00003,,% distinct MSIS IDs with only missing values in any active segment: CITIZENSHIP-IND (ELG00003),tmsis_var_dmgrphc_elgblty.ctznshp_ind,CITIZENSHIP-IND,ELG040,X(1),Character,Y
9,ELG,Non-claims,MIS-1-009-9,MIS1.9,ELG00003,,% distinct MSIS IDs with only missing values in any active segment: HOUSEHOLD-SIZE (ELG00003),tmsis_var_dmgrphc_elgblty.hsehld_size_cd,HOUSEHOLD-SIZE,ELG047,X(2),Character,Y
10,ELG,Non-claims,MIS-1-010-10,MIS1.10,ELG00003,,% distinct MSIS IDs with only missing values in any active segment: IMMIGRATION-STATUS (ELG00003),tmsis_var_dmgrphc_elgblty.imgrtn_stus_cd,IMMIGRATION-STATUS,ELG042,X(1),Character,Y
11,ELG,Non-claims,MIS-1-011-11,MIS1.11,ELG00003,,% distinct MSIS IDs with only missing values in any active segment: INCOME-CODE (ELG00003),tmsis_var_dmgrphc_elgblty.incm_cd,INCOME-CODE,ELG038,X(2),Character,Y
12,ELG,Non-claims,MIS-1-012-12,MIS1.12,ELG00003,,% distinct MSIS IDs with only missing values in any active segment: MARITAL-STATUS (ELG00003),tmsis_var_dmgrphc_elgblty.mrtl_stus_cd,MARITAL-STATUS,ELG034,X(2),Character,Y
14,ELG,Non-claims,MIS-1-014-14,MIS1.14,ELG00003,,% distinct MSIS IDs with only missing values in any active segment: SSN (ELG00003),tmsis_var_dmgrphc_elgblty.ssn_num,SSN,ELG036,9(9),Numeric,Y
15,ELG,Non-claims,MIS-1-015-15,MIS1.15,ELG00003,,% distinct MSIS IDs with only missing values in any active segment: SSN-VERIFICATION-FLAG (ELG00003),tmsis_var_dmgrphc_elgblty.ssn_vrfctn_ind,SSN-VERIFICATION-FLAG,ELG037,X(1),Character,Y
16,ELG,Non-claims,MIS-1-016-16,MIS1.16,ELG00003,,% distinct MSIS IDs with only missing values in any active segment: VARIABLE-DEMOGRAPHIC-ELEMENT-EFF-DATE (ELG00003),tmsis_var_dmgrphc_elgblty.var_dmgrphc_ele_efctv_dt,VARIABLE-DEMOGRAPHIC-ELEMENT-EFF-DATE,ELG057,9(8),Numeric,Y
17,ELG,Non-claims,MIS-1-017-17,MIS1.17,ELG00003,,% distinct MSIS IDs with only missing values in any active segment: VETERAN-IND (ELG00003),tmsis_var_dmgrphc_elgblty.vet_ind,VETERAN-IND,ELG039,X(1),Character,Y
18,ELG,Non-claims,MIS-1-018-18,MIS1.18,ELG00004,,% distinct MSIS IDs with only missing values in any active segment: ADDR-TYPE (ELG00004),tmsis_elgbl_cntct.elgbl_adr_type_cd,ADDR-TYPE,ELG065,X(2),Character,Y
