DE_NO,DATA_ELEMENT_NAME,SIZE,START POSITION,STOP POSITION,FILE NAME,FILE SEGMENT (with RECORD-ID)
CIP001,RECORD-ID,X(8),1,8,CLAIMIP,FILE-HEADER-RECORD-IP-CIP00001
CIP002,DATA-DICTIONARY-VERSION,X(10),9,18,CLAIMIP,FILE-HEADER-RECORD-IP-CIP00001
CIP003,SUBMISSION-TRANSACTION-TYPE,X(1),19,19,CLAIMIP,FILE-HEADER-RECORD-IP-CIP00001
CIP004,FILE-ENCODING-SPECIFICATION,X(3),20,22,CLAIMIP,FILE-HEADER-RECORD-IP-CIP00001
CIP005,DATA-MAPPING-DOCUMENT-VERSION,X(9),23,31,CLAIMIP,FILE-HEADER-RECORD-IP-CIP00001
CIP006,FILE-NAME,X(8),32,39,CLAIMIP,FILE-HEADER-RECORD-IP-CIP00001
CIP007,SUBMITTING-STATE,X(2),40,41,CLAIMIP,FILE-HEADER-RECORD-IP-CIP00001
CIP008,DATE-FILE-CREATED,9(8),42,49,CLAIMIP,FILE-HEADER-RECORD-IP-CIP00001
CIP009,START-OF-TIME-PERIOD,9(8),50,57,CLAIMIP,FILE-HEADER-RECORD-IP-CIP00001
CIP010,END-OF-TIME-PERIOD,9(8),58,65,CLAIMIP,FILE-HEADER-RECORD-IP-CIP00001
CIP011,FILE-STATUS-INDICATOR,X(1),66,66,CLAIMIP,FILE-HEADER-RECORD-IP-CIP00001
CIP012,SSN-INDICATOR,X(1),67,67,CLAIMIP,FILE-HEADER-RECORD-IP-CIP00001
CIP013,TOT-REC-CNT,9(11),68,78,CLAIMIP,FILE-HEADER-RECORD-IP-CIP00001
CIP275,SEQUENCE-NUMBER,X(4),79,82,CLAIMIP,FILE-HEADER-RECORD-IP-CIP00001
CIP014,STATE-NOTATION,X(500),83,582,CLAIMIP,FILE-HEADER-RECORD-IP-CIP00001
CIP015,FILLER,X(1518),583,2100,CLAIMIP,FILE-HEADER-RECORD-IP-CIP00001
CIP016,RECORD-ID,X(8),1,8,CLAIMIP,CLAIM-HEADER-RECORD-IP-CIP00002
CIP017,SUBMITTING-STATE,X(2),9,10,CLAIMIP,CLAIM-HEADER-RECORD-IP-CIP00002
CIP018,RECORD-NUMBER,9(11),11,21,CLAIMIP,CLAIM-HEADER-RECORD-IP-CIP00002
CIP019,ICN-ORIG,X(50),22,71,CLAIMIP,CLAIM-HEADER-RECORD-IP-CIP00002
CIP020,ICN-ADJ,X(50),72,121,CLAIMIP,CLAIM-HEADER-RECORD-IP-CIP00002
CIP021,SUBMITTER-ID,X(12),122,133,CLAIMIP,CLAIM-HEADER-RECORD-IP-CIP00002
CIP022,MSIS-IDENTIFICATION-NUM,X(20),134,153,CLAIMIP,CLAIM-HEADER-RECORD-IP-CIP00002
CIP023,CROSSOVER-INDICATOR,X(1),154,154,CLAIMIP,CLAIM-HEADER-RECORD-IP-CIP00002
CIP024,TYPE-OF-HOSPITAL,X(2),155,156,CLAIMIP,CLAIM-HEADER-RECORD-IP-CIP00002
CIP025,1115A-DEMONSTRATION-IND,X(1),157,157,CLAIMIP,CLAIM-HEADER-RECORD-IP-CIP00002
CIP026,ADJUSTMENT-IND,X(1),158,158,CLAIMIP,CLAIM-HEADER-RECORD-IP-CIP00002
CIP027,ADJUSTMENT-REASON-CODE,X(3),159,161,CLAIMIP,CLAIM-HEADER-RECORD-IP-CIP00002
CIP028,ADMISSION-TYPE,X(1),162,162,CLAIMIP,CLAIM-HEADER-RECORD-IP-CIP00002
CIP029,DRG-DESCRIPTION,X(20),163,182,CLAIMIP,CLAIM-HEADER-RECORD-IP-CIP00002
CIP030,ADMITTING-DIAGNOSIS-CODE,X(7),183,189,CLAIMIP,CLAIM-HEADER-RECORD-IP-CIP00002
CIP031,ADMITTING-DIAGNOSIS-CODE-FLAG,X(1),190,190,CLAIMIP,CLAIM-HEADER-RECORD-IP-CIP00002
CIP032,DIAGNOSIS-CODE-1,X(7),191,197,CLAIMIP,CLAIM-HEADER-RECORD-IP-CIP00002
CIP033,DIAGNOSIS-CODE-FLAG-1,X(1),198,198,CLAIMIP,CLAIM-HEADER-RECORD-IP-CIP00002
CIP034,DIAGNOSIS-POA-FLAG-1,X(1),199,199,CLAIMIP,CLAIM-HEADER-RECORD-IP-CIP00002
CIP035,DIAGNOSIS-CODE-2,X(7),200,206,CLAIMIP,CLAIM-HEADER-RECORD-IP-CIP00002
CIP036,DIAGNOSIS-CODE-FLAG-2,X(1),207,207,CLAIMIP,CLAIM-HEADER-RECORD-IP-CIP00002
CIP037,DIAGNOSIS-POA-FLAG-2,X(1),208,208,CLAIMIP,CLAIM-HEADER-RECORD-IP-CIP00002
CIP038,DIAGNOSIS-CODE-3,X(7),209,215,CLAIMIP,CLAIM-HEADER-RECORD-IP-CIP00002
CIP039,DIAGNOSIS-CODE-FLAG-3,X(1),216,216,CLAIMIP,CLAIM-HEADER-RECORD-IP-CIP00002
CIP040,DIAGNOSIS-POA-FLAG-3,X(1),217,217,CLAIMIP,CLAIM-HEADER-RECORD-IP-CIP00002
CIP041,DIAGNOSIS-CODE-4,X(7),218,224,CLAIMIP,CLAIM-HEADER-RECORD-IP-CIP00002
CIP042,DIAGNOSIS-CODE-FLAG-4,X(1),225,225,CLAIMIP,CLAIM-HEADER-RECORD-IP-CIP00002
