claim_file,display_order,measure,measure_id_w_display_order,measure_name,Measure_Type,claim_category,Active_Ind,decimal_places,Display_Type,measure_id,measure_cat,measure_major,measure_minor,z_display_order,display_suffix,z_display_order_suffix,decimal_places_int
LT,1,ALL10.1,ALL-10-001-1,% of claim headers that are crossover claims,Claims Percentage,"S-CHIP FFS and Encounter: Original, Paid Claims",Y,2,Default,ALL10_1,ALL,10,1,001,,001,2
OT,1,ALL1.7,ALL-1-001-7,% of claim lines with BENEFIT-TYPE = 002 (outpatient hospital),Claims Percentage,"Medicaid and S-CHIP FFS and Encounter: Original, Non-Crossover, Paid Claims",Y,2,Default,ALL1_7,ALL,1,7,001,,001,2
OT,2,ALL1.8,ALL-1-002-8,% of claim lines with BENEFIT-TYPE = 010 (physician),Claims Percentage,"Medicaid and S-CHIP FFS and Encounter: Original, Non-Crossover, Paid Claims",Y,2,Default,ALL1_8,ALL,1,8,002,,002,2
OT,3,ALL1.1,ALL-1-003-1,# of unique Benefit Type values reported for mandatory ambulatory-only benefit (see DD Appendix H),Count,"Medicaid and S-CHIP FFS and Encounter: Original, Non-Crossover, Paid Claims",Y,0,Default,ALL1_1,ALL,1,1,003,,003,0
LT,4,ALL1.2,ALL-1-004-2,# of unique Benefit Type values reported for mandatory institutional-only Long-Term Care benefit (see DD Appendix H),Count,"Medicaid and S-CHIP FFS and Encounter: Original, Non-Crossover, Paid Claims",Y,0,Default,ALL1_2,ALL,1,2,004,,004,0
IP,5,ALL1.3,ALL-1-005-3,# of unique Benefit Type values reported for mandatory institutional-only non-Long-Term Care benefit (see DD Appendix H),Count,"Medicaid and S-CHIP FFS and Encounter: Original, Non-Crossover, Paid Claims",Y,0,Default,ALL1_3,ALL,1,3,005,,005,0
OT,6,ALL1.4,ALL-1-006-4,# of unique Benefit Type values reported for optional ambulatory-only benefit  (see DD Appendix H),Count,"Medicaid and S-CHIP FFS and Encounter: Original, Non-Crossover, Paid Claims",Y,0,Default,ALL1_4,ALL,1,4,006,,006,0
LT,7,ALL1.5,ALL-1-007-5,# of unique Benefit Type values reported for optional institutional-only Long-Term Care benefit  (see DD Appendix H),Count,"Medicaid and S-CHIP FFS and Encounter: Original, Non-Crossover, Paid Claims",Y,0,Default,ALL1_5,ALL,1,5,007,,007,0
IP,8,ALL1.6,ALL-1-008-6,# of unique Benefit Type values reported for optional institutional-only non-Long-Term Care benefit  (see DD Appendix H),Count,"Medicaid and S-CHIP FFS and Encounter: Original, Non-Crossover, Paid Claims",Y,0,Default,ALL1_6,ALL,1,6,008,,008,0
OT,9,ALL1.9,ALL-1-009-9,% of claim lines with Benefit Type values representing a combination ambulatory/institutional benefit (see DD Appendix H),Claims Percentage,"Medicaid and S-CHIP FFS and Encounter: Original, Non-Crossover, Paid Claims",Y,2,Default,ALL1_9,ALL,1,9,009,,009,2
LT,10,ALL1.10,ALL-1-010-10,% of claim headers with Benefit Type values representing a combination ambulatory/institutional Long-Term Care benefit (see DD Appendix H),Claims Percentage,"Medicaid and S-CHIP FFS and Encounter: Original, Non-Crossover, Paid Claims",Y,2,Default,ALL1_10,ALL,1,10,010,,010,2
IP,11,ALL1.11,ALL-1-011-11,% of claim headers with Benefit Type values representing a combination ambulatory/institutional non-Long-Term Care benefit (see DD Appendix H),Claims Percentage,"Medicaid and S-CHIP FFS and Encounter: Original, Non-Crossover, Paid Claims",Y,2,Default,ALL1_11,ALL,1,11,011,,011,2
OT,12,ALL1.12,ALL-1-012-12,% of claim lines with Benefit Type values representing ambulatory-only benefit (see DD Appendix H),Claims Percentage,"Medicaid and S-CHIP FFS and Encounter: Original, Non-Crossover, Paid Claims",Y,2,Default,ALL1_12,ALL,1,12,012,,012,2
LT,13,ALL1.13,ALL-1-013-13,% of claim headers with Benefit Type values representing institutional-only Long-Term Care benefit (see DD Appendix H),Claims Percentage,"Medicaid and S-CHIP FFS and Encounter: Original, Non-Crossover, Paid Claims",Y,2,Default,ALL1_13,ALL,1,13,013,,013,2
IP,14,ALL1.14,ALL-1-014-14,% of claim headers with Benefit Type values representing institutional-only non-Long-Term Care benefit (see DD Appendix H),Claims Percentage,"Medicaid and S-CHIP FFS and Encounter: Original, Non-Crossover, Paid Claims",Y,2,Default,ALL1_14,ALL,1,14,014,,014,2
OT,1,ALL11.1,ALL-11-001-1,% of claim lines that are crossover claims,Claims Percentage,"S-CHIP FFS and Encounter: Original, Paid Claims",Y,2,Default,ALL11_1,ALL,11,1,001,,001,2
OT,1,ALL12.1,ALL-12-001-1,"% of claim headers with PROGRAM TYPE = 01, 02, or 04 (EPSDT, family planning, or FQHC)",Claims Percentage,"Medicaid and S-CHIP FFS and Encounter: Original, Non-Crossover, Paid Claims",Y,2,Default,ALL12_1,ALL,12,1,001,,001,2
EL,1,ALL13.1,ALL-13-001-1,% of MSIS IDs limited to family planning (RESTRICTED-BENEFITS-CODE = 6) with non-family planning services (PROGRAM-TYPE not equal 2),Claims Percentage,"Medicaid FFS and Encounter: Original, Paid Claims",Y,2,Default,ALL13_1,ALL,13,1,001,,001,2
EL,2,ALL13.2,ALL-13-002-2,% of MSIS IDs limited to family planning (RESTRICTED-BENEFITS-CODE = 6) with non-family planning services (PROGRAM-TYPE not equal 2),Claims Percentage,"Medicaid FFS and Encounter: Original, Paid Claims",Y,2,Default,ALL13_2,ALL,13,2,002,,002,2
