Variable,Code,Description
elgblty_grp_cd,01,Parents and Other Caretaker Relatives
elgblty_grp_cd,02,Transitional Medical Assistance
elgblty_grp_cd,03,Extended Medicaid due to Earnings
elgblty_grp_cd,04,Extended Medicaid due to Spousal Support Collections
elgblty_grp_cd,05,Pregnant Women
elgblty_grp_cd,06,Deemed Newborns
elgblty_grp_cd,07,Infants and Children under Age 19
elgblty_grp_cd,08,"Children with Title IV-E Adoption Assistance, Foster Care or Guardianship Care"
elgblty_grp_cd,09,Former Foster Care Children
elgblty_grp_cd,72,Adult Group - Individuals at or below 133% FPL Age 19 through 64 - newly eligible for all states
elgblty_grp_cd,73,Adult Group - Individuals at or below 133% FPL Age 19 through 64-  not newly eligible for non 1905z(3) states
elgblty_grp_cd,74,Adult Group - Individuals at or below 133% FPL Age 19 through 64 – not newly eligible parent/ caretaker-relative(s) in 1905z(3) states
elgblty_grp_cd,75,Adult Group - Individuals at or below 133% FPL Age 19 through 64- not newly eligible non-parent/ caretaker-relative(s) in 1905z(3) states
elgblty_grp_cd,11,Individuals Receiving SSI
elgblty_grp_cd,12,"Aged, Blind and Disabled Individuals in 209(b) States"
elgblty_grp_cd,13,Individuals Receiving Mandatory State Supplements
elgblty_grp_cd,14,Individuals Who Are Essential Spouses
elgblty_grp_cd,15,Institutionalized Individuals Continuously Eligible Since 1973
elgblty_grp_cd,16,Blind or Disabled Individuals Eligible in 1973
elgblty_grp_cd,17,Individuals Who Lost Eligibility for SSI/SSP Due to an Increase in OASDI Benefits in 1972
elgblty_grp_cd,18,"Individuals Who Would be Eligible for SSI/SSP but for OASDI COLA increases since April, 1977 "
elgblty_grp_cd,19,Disabled Widows and Widowers Ineligible for SSI due to Increase in OASDI
elgblty_grp_cd,20,Disabled Widows and Widowers Ineligible for SSI due to Early Receipt of Social Security
elgblty_grp_cd,21,Working Disabled under 1619(b)
elgblty_grp_cd,22,Disabled Adult Children
elgblty_grp_cd,23,Qualified Medicare Beneficiaries
elgblty_grp_cd,24,Qualified Disabled and Working Individuals
elgblty_grp_cd,25,Specified Low Income Medicare Beneficiaries
elgblty_grp_cd,26,Qualifying Individuals
elgblty_grp_cd,27,Optional Coverage of Parents and Other Caretaker Relatives
elgblty_grp_cd,28,Reasonable Classifications of Individuals under Age 21
elgblty_grp_cd,29,Children with Non-IV-E Adoption Assistance
elgblty_grp_cd,30,Independent Foster Care Adolescents
elgblty_grp_cd,31,Optional Targeted Low Income Children
elgblty_grp_cd,32,Individuals Electing COBRA Continuation Coverage
elgblty_grp_cd,33,Individuals above 133% FPL under Age 65
elgblty_grp_cd,34,Certain Individuals  Needing Treatment for Breast or Cervical Cancer
elgblty_grp_cd,35,Individuals Eligible for Family Planning Services
elgblty_grp_cd,36,Individuals with Tuberculosis
elgblty_grp_cd,37,"Aged, Blind or Disabled Individuals Eligible for but Not Receiving Cash Assistance"
elgblty_grp_cd,38,Individuals Eligible for Cash Assistance except for Institutionalization
elgblty_grp_cd,39,Individuals Receiving Home and Community Based Services under Institutional Rules
elgblty_grp_cd,40,"Optional State Supplement Recipients - 1634 States, and SSI Criteria States with 1616 Agreements"
elgblty_grp_cd,41,"Optional State Supplement Recipients - 209(b) States, and SSI Criteria States without 1616 Agreements"
elgblty_grp_cd,42,Institutionalized Individuals Eligible under a Special Income Level
elgblty_grp_cd,43,Individuals participating in a PACE Program under Institutional Rules
elgblty_grp_cd,44,Individuals Receiving Hospice Care
elgblty_grp_cd,45,Qualified Disabled Children under Age 19 
elgblty_grp_cd,46,Poverty Level Aged or Disabled
elgblty_grp_cd,47,Work Incentives Eligibility Group
elgblty_grp_cd,48,Ticket to Work Basic Group
elgblty_grp_cd,49,Ticket to Work Medical Improvements Group
elgblty_grp_cd,50,Family Opportunity Act Children with Disabilities
elgblty_grp_cd,51,Individuals Eligible for Home and Community-Based Services 
elgblty_grp_cd,52,Individuals Eligible for Home and Community-Based Services - Special Income Level
elgblty_grp_cd,53,Medically Needy Pregnant Women
elgblty_grp_cd,54,Medically Needy Children under Age 18
elgblty_grp_cd,55,Medically Needy Children Age 18 through 20
elgblty_grp_cd,56,Medically Needy Parents and Other Caretakers
elgblty_grp_cd,59,"Medically Needy Aged, Blind or Disabled"
elgblty_grp_cd,60,Medically Needy Blind or Disabled Individuals Eligible in 1973
elgblty_grp_cd,61,Targeted Low-Income Children
elgblty_grp_cd,62,Deemed Newborn
elgblty_grp_cd,63,Children Ineligible for Medicaid Due to Loss of Income Disregards 
elgblty_grp_cd,64,Coverage from Conception to Birth
elgblty_grp_cd,65,Children with Access to Public Employee Coverage
