Provider_classification_type,Provider_classification_code,NPI_Required
1,101Y00000X,YES
1,101YA0400X,YES
1,101YM0800X,YES
1,101YP1600X,YES
1,101YP2500X,YES
1,101YS0200X,YES
1,102L00000X,YES
1,102X00000X,YES
1,103G00000X,YES
1,103GC0700X,YES
1,103K00000X,YES
1,103T00000X,YES
1,103TA0400X,YES
1,103TA0700X,YES
1,103TB0200X,YES
1,103TC0700X,YES
1,103TC1900X,YES
1,103TC2200X,YES
1,103TE1000X,YES
1,103TE1100X,YES
1,103TF0000X,YES
1,103TF0200X,YES
1,103TH0004X,YES
1,103TH0100X,YES
1,103TM1700X,YES
1,103TM1800X,YES
1,103TP0016X,YES
1,103TP0814X,YES
1,103TP2700X,YES
1,103TP2701X,YES
1,103TR0400X,YES
1,103TS0200X,YES
1,103TW0100X,YES
1,104100000X,YES
1,1041C0700X,YES
1,1041S0200X,YES
1,106E00000X,YES
1,106H00000X,YES
1,106S00000X,YES
1,111N00000X,YES
1,111NI0013X,YES
1,111NI0900X,YES
1,111NN0400X,YES
1,111NN1001X,YES
1,111NP0017X,YES
1,111NR0200X,YES
1,111NR0400X,YES
1,111NS0005X,YES
1,111NT0100X,YES
1,111NX0100X,YES
1,111NX0800X,YES
1,122300000X,YES
1,1223D0001X,YES
1,1223D0004X,YES
1,1223E0200X,YES
1,1223G0001X,YES
1,1223P0106X,YES
1,1223P0221X,YES
1,1223P0300X,YES
1,1223P0700X,YES
1,1223S0112X,YES
1,1223X0008X,YES
1,1223X0400X,YES
1,1223X2210X,YES
1,122400000X,YES
1,124Q00000X,YES
1,125J00000X,YES
1,125K00000X,YES
1,125Q00000X,YES
1,126800000X,YES
1,126900000X,YES
1,132700000X,NO
1,133N00000X,YES
1,133NN1002X,YES
1,133V00000X,YES
1,133VN1004X,YES
1,133VN1005X,YES
1,133VN1006X,YES
1,133VN1101X,YES
1,133VN1201X,YES
1,133VN1301X,YES
1,133VN1401X,YES
1,133VN1501X,YES
