State,EL Group 72,"EL Group 73, 74, or 75",Notes
Alabama,NO,NO,"Used 6/30/2022 report to update sent by Ellen Singer, used June 2022 counts for all stats when available, for CT used FY 2021 and for MD, N Mariana Islands, OH, RI, WI used 5/22 report"
Alaska,YES,YES,
Amer. Samoa,NO,NO,
Arizona,YES,YES,
Arkansas,YES,YES,
California,YES,YES,
Colorado,YES,YES,
Connecticut,YES,YES,
Delaware,YES,YES,
Dist. Of Col.,YES,YES,
Florida,NO,NO,
Georgia,NO,NO,
Guam,NO,YES,
Hawaii,YES,YES,
Idaho,YES,NO,
Illinois,YES,YES,
Indiana,YES,NO,
Iowa,YES,YES,
Kansas,NO,NO,
Kentucky,YES,NO,
Louisiana,YES,NO,
Maine,YES,NO,
Maryland,YES,NO,https://www.medicaid.gov/medicaid/national-medicaid-chip-program-information/medicaid-chip-enrollment-data/medicaid-enrollment-data-collected-through-mbes/index.html
Massachusetts,NO,YES,
Michigan,YES,YES,
Minnesota,YES,NO,
Mississippi,NO,NO,
Missouri,YES,NO,
Montana,YES,NO,
N. Mariana Islands,NO,NO,https://www.medicaid.gov/medicaid/national-medicaid-chip-program-information/medicaid-chip-enrollment-data/medicaid-enrollment-data-collected-through-mbes/index.html
Nebraska,YES,YES,
Nevada,YES,NO,
New Hampshire,YES,YES,
New Jersey,YES,NO,
New Mexico,YES,NO,
New York,YES,YES,
North Carolina,NO,NO,
North Dakota,YES,YES,
Ohio,YES,YES,
Oklahoma,YES,NO,
Oregon,YES,YES,
Pennsylvania,YES,YES,
Puerto Rico,NO,YES,
Rhode Island,YES,NO,
South Carolina,NO,NO,
South Dakota,NO,NO,
Tennessee,NO,NO,
Texas,NO,NO,
Utah,YES,YES,
Vermont,NO,YES,
Virgin Islands,NO,YES,
Virginia,NO,NO,
Washington,YES,YES,
West Virginia,YES,NO,
Wisconsin,NO,NO,
Wyoming,NO,NO,
