Code,Type,Definition
59000,CPT,"Amniocentesis, diagnostic"
59001,CPT,"Amniocentesis, therapeutic amniotic fluid reduction"
59012,CPT,"Cordocentesis (intrauterine), any method"
59015,CPT,"Chorionic villus sampling, any method"
59020,CPT,Fetal contraction stress test
59025,CPT,Fetal non-stress test 
59030,CPT,Fetal scalp blood sampling
59050,CPT,"Fetal monitoring during labor by consulting physician (i.e., non-attending physician) with written report; supervision and interpretation"
59051,CPT,"Fetal monitoring during labor by consulting physician (i.e., non-attending physician) with written report; interpretation only"
59070,CPT,"Transabdominal amnioinfusion, including ultrasound guidance"
59072,CPT,"Fetal umbilical cord occlusion, including ultrasound guidance"
59074,CPT,"Fetal fluid drainage (eg, vesiocentesis, thoracocentesis, paracentesis), including ultrasound guidance"
59076,CPT,"Fetal shunt placement, including ultrasound guidance"
59120,CPT,"Surgical treatment of ectopic pregnancy; tubal or ovarian, requiring salpingectomy and/or oophorectomy, abdominal or vaginal approach"
59121,CPT,"Surgical treatment of ectopic pregnancy; tubal or ovarian, without salpingectomy and/or oophorectomy"
59130,CPT,Surgical treatment of ectopic pregnancy; abdominal pregnancy
59135,CPT,"Surgical treatment of ectopic pregnancy; interstitial, uterine pregnancy requiring total hysterectomy"
59136,CPT,"Surgical treatment of ectopic pregnancy; interstitial, uterine pregnancy with partial resection of uterus"
59140,CPT,"Surgical treatment of ectopic pregnancy; cervical, with evacuation"
59150,CPT,Laparoscopic treatment of ectopic pregnancy; without salpingectomy and/or oophorectomy
59151,CPT,Laparoscopic treatment of ectopic pregnancy; with salpingectomy and/or oophorectomy
59160,CPT,"Curettage, postpartum"
59200,CPT,"Insertion of cervical dilator (eg, laminaria, prostaglandin) (separate procedure)"
59300,CPT,"Episiotomy or vaginal repair, by other than attending physician"
59320,CPT,"Cerclage of cervix, during pregnancy, vaginal"
59325,CPT,"Cerclage of cervix, during pregnancy, abdominal"
59350,CPT,Hysterorrhaphy of ruptured uterus
59400,CPT,"Routine obstetric care including antepartum care, vaginal delivery (with or without episiotomy, and/or forceps) and postpartum care"
59409,CPT,"Vaginal delivery only (with or without episiotomy, and/or forceps)"
59410,CPT,"Vaginal delivery only (with or without episiotomy, and/or forceps), including postpartum care"
59412,CPT,"External cephalic version, with or without tocolysis"
59414,CPT,Delivery of placenta (separate procedure)
59425,CPT,"Antepartum care only, 4-6 visits"
59426,CPT,"Antepartum care only, 7 or more visits"
59510,CPT,"Routine obstetric care including antepartum care, cesarean delivery and postpartum care"
59514,CPT,Cesarean delivery only
59515,CPT,"Cesarean delivery only, including postpartum care"
59610,CPT,"Routine obstetric care including antepartum care, vaginal delivery (with or without episiotomy, and/or forceps) and postpartum care, after previous cesarean delivery"
59612,CPT,"Vaginal delivery only, after previous cesarean delivery (with or without episiotomy, and/or forceps)"
59614,CPT,"Vaginal delivery only, after previous cesarean delivery (with or without episiotomy, and/or forceps) including postpartum care"
59618,CPT,"Routine obstetric care including antepartum care, cesarean delivery and postpartum care, following attempted vaginal delivery after previous cesarean delivery"
59620,CPT,"Cesarean delivery only, following attempted vaginal delivery after previous cesarean delivery"
59622,CPT,"Cesarean delivery only, following attempted vaginal delivery after previous cesarean delivery, including postpartum care"
59812,CPT,"Treatment of incomplete abortion, any trimester, completed surgically"
59820,CPT,"Treatment of missed abortion, completed surgically, first trimester"
59821,CPT,"Treatment of missed abortion, completed surgically, second trimester"
59830,CPT,"Treatment of septic abortion, completed surgically"
59840,CPT,Induced abortion by dilation and curettage
59841,CPT,"Induced abortion, by dilation and evacuation"
59850,CPT,"Induced abortion, by 1 or more intra-amniotic injections (amniocentesis-injections), including hospital admission and visits, delivery of fetus and secundines"
59851,CPT,"Induced abortion, by 1 or more intra-amniotic injections (amniocentesis-injections), including hospital admission and visits, with dilation and curettage and/or evacuation"
59852,CPT,"Induced abortion, by 1 or more intra-amniotic injections (amniocentesis-injections), including hospital admission and visits, with hysterectomy (failed intra-amniotic injection)"
59855,CPT,"Induced abortion, by 1 or more vaginal suppositories (eg, prostaglandin) with or without cervical dilation (eg, laminaria), including hospital admission and visits, delivery of fetus and secundines"
59856,CPT,"Induced abortion, by 1 or more vaginal suppositories (eg, prostaglandin) with or without cervical dilation (eg, laminaria), including hospital admission and visits, with dilation and curettage and/or evacuation"
59857,CPT,"Induced abortion, by 1 or more vaginal suppositories (eg, prostaglandin) with or without cervical dilation (eg, laminaria), including hospital admission and visits, with hysterectomy (failed medical evacuation)"
59866,CPT,Multifetal pregnancy reduction(s) (MPR)
59870,CPT,Uterine evacuation and curettage for hydatidiform mole
59871,CPT,Removal of cerclage suture under anesthesia (other than local)
59897,CPT,"Unlisted fetal invasive procedure, including ultrasound guidance, when performed"
59898,CPT,"Unlisted laparoscopy procedure, maternity care and delivery"
59899,CPT,"Unlisted procedure, maternity care and delivery"
74712,CPT,"Magnetic resonance (e.g., proton) imaging, fetal, including placental and maternal pelvic imaging when performed; single or first gestation"
