STABBREV,STATE_NAME,FIPS_CD,HAS_SCHIP
AL,Alabama,1,YES
AK,Alaska,2,No
AZ,Arizona,4,YES
AR,Arkansas,5,YES
CA,California,6,YES
CO,Colorado,8,YES
CT,Connecticut,9,YES
DE,Delaware,10,YES
DC,District of Columbia,11,No
FL,Florida,12,YES
GA,Georgia,13,YES
HI,Hawaii,15,No
ID,Idaho,16,YES
IL,Illinois,17,YES
IN,Indiana,18,YES
IA,Iowa,"19, 96",YES
KS,Kansas,20,YES
KY,Kentucky,21,YES
LA,Louisiana,22,YES
ME,Maine,23,YES
MD,Maryland,24,No
MA,Massachusetts,25,YES
MI,Michigan,26,YES
MN,Minnesota,27,YES
MS,Mississippi,28,YES
MO,Missouri,29,YES
MT,Montana,30,YES
NE,Nebraska,31,YES
NV,Nevada,32,YES
NH,New Hampshire,33,No
NJ,New Jersey,34,YES
NM,New Mexico,35,No
NY,New York,36,YES
NC,North Carolina,37,YES
ND,North Dakota,38,YES
OH,Ohio,39,No
OK,Oklahoma,40,YES
OR,Oregon,41,YES
PA,Pennsylvania,"42, 97",YES
RI,Rhode Island,44,YES
SC,South Carolina,45,No
SD,South Dakota,46,YES
TN,Tennessee,47,YES
TX,Texas,48,YES
UT,Utah,49,YES
VT,Vermont,50,No
VA,Virginia,51,YES
WA,Washington,53,YES
WV,West Virginia,54,YES
WI,Wisconsin,55,YES
WY,Wyoming,56,YES
VI,Virgin Islands,78,YES
PR,Puerto Rico,72,YES
