ZipCode,Sequence,State,City,County,StateFIPS,CountyFIPS,Percent
00501,1,NY,Holtsville,Suffolk,36,103,100
00544,1,NY,Holtsville,Suffolk,36,103,100
00601,1,PR,Adjuntas,Adjuntas,72,001,100
00602,1,PR,Aguada,Aguada,72,003,100
00603,1,PR,Aguadilla,Aguadilla,72,005,100
00604,1,PR,Aguadilla,Aguadilla,72,005,100
00605,1,PR,Aguadilla,Aguadilla,72,005,100
00606,1,PR,Maricao,Maricao,72,093,100
00610,1,PR,Anasco,Anasco,72,011,100
00611,1,PR,Angeles,Utuado,72,141,100
00612,1,PR,Arecibo,Arecibo,72,013,100
00613,1,PR,Arecibo,Arecibo,72,013,100
00614,1,PR,Arecibo,Arecibo,72,013,100
00616,1,PR,Bajadero,Arecibo,72,013,100
00617,1,PR,Barceloneta,Barceloneta,72,017,86
00617,2,PR,Barceloneta,Florida,72,054,14
00622,1,PR,Boqueron,Cabo Rojo,72,023,100
00623,1,PR,Cabo Rojo,Cabo Rojo,72,023,100
00624,1,PR,Penuelas,Penuelas,72,111,100
00627,1,PR,Camuy,Camuy,72,027,100
00631,1,PR,Castaner,Lares,72,081,100
00636,1,PR,Rosario,San German,72,125,100
00637,1,PR,Sabana Grande,Sabana Grande,72,121,100
00638,1,PR,Ciales,Ciales,72,039,100
00641,1,PR,Utuado,Utuado,72,141,100
00646,1,PR,Dorado,Dorado,72,051,100
00647,1,PR,Ensenada,Guanica,72,055,100
00650,1,PR,Florida,Florida,72,054,66
00650,2,PR,Florida,Utuado,72,141,20
00650,3,PR,Florida,Arecibo,72,013,8
00650,4,PR,Florida,Ciales,72,039,6
00652,1,PR,Garrochales,Arecibo,72,013,100
00653,1,PR,Guanica,Guanica,72,055,100
00656,1,PR,Guayanilla,Guayanilla,72,059,100
00659,1,PR,Hatillo,Hatillo,72,065,100
00660,1,PR,Hormigueros,Hormigueros,72,067,100
00662,1,PR,Isabela,Isabela,72,071,100
00664,1,PR,Jayuya,Jayuya,72,073,100
00667,1,PR,Lajas,Lajas,72,079,100
00669,1,PR,Lares,Lares,72,081,100
00670,1,PR,Las Marias,Camuy,72,027,50
00670,2,PR,Las Marias,Las Marias,72,083,50
00674,1,PR,Manati,Manati,72,091,100
00676,1,PR,Moca,Moca,72,099,100
00677,1,PR,Rincon,Rincon,72,117,100
00678,1,PR,Quebradillas,Quebradillas,72,115,94
00678,2,PR,Quebradillas,Isabela,72,071,6
